id,customer_message,intent,expected_action,reference_reply_or_resolution,top_retrieval_score,intent_confidence,notes
GS_0000,"@SpotifyCares trying to add my wife to my spotify account and it keeps saying ""Oops something went wrong""",account_access,auto_handle,"@236093 Hi Anthony, help's arrived! Could you DM us yours and your wife's usernames and email addresses? We'll take a look backstage /JQ https://t.co/ldFdZRiNAt",1.0,0.465,
GS_0001,@115888 @spotifycares Why is there a cap on adding songs to my library? I don't want the company line. This policy needs to be reexamined.,general_inquiry,auto_handle,"@727607 Hey Justin! Rest assured, your feedback will be passed on to the right folks. On a side note, you can head over at https://t.co/8OOl8B2i69 to help make it happen and for more info. For anything else, let us know /GU",1.0,0.4417,intent corrected: playback_issue -> general_inquiry
GS_0002,@SpotifyCares More than 400 GB.  I also don't use external music sources like iTunes on Spotify.,connectivity_device,auto_handle,@539215 Gotcha. Could you try reinstalling the app? Just follow the steps at https://t.co/grEcQYYFVS. Keep us posted /NS,1.0,0.519,
GS_0003,@SpotifyCares Ok. Thanks for your support!,resolved_followup,auto_handle,@217571 You're welcome. Let us know if you need anything else. We'd be happy to help /PB,1.0,0.5392,
GS_0004,@SpotifyCares I have done that numerous times before. It happens regardless. The only way I can access Spotify back is by opening the app again which sux,app_crash_or_bug,auto_handle,"@215073 We understand. Not to worry, we're not giving up. Can you try reinstalling the app using the steps here: https://t.co/EqisDMwZAT? /MT",1.0,0.5053,
GS_0005,Hey @115888 I’m pretty sure I’m a student at PJC. Unless I’m just sitting in classes and paying for nothing 🤷🏻‍♀️,subscription_billing,auto_handle,"@561309 Hi Savanna! Were you suddenly getting charged the full rate? If you can DM us your account's email address, we'll take a look for you /RR https://t.co/ldFdZRiNAt",1.0,0.4638,
GS_0006,come through @115888 w the code!!!  @12387  Ill see you next month boo!!,general_inquiry,auto_handle,"@268634 Hey Eartha! We just sent you a reply to your DM, so we'll continue assisting you there /TF",1.0,0.5467,
GS_0007,@SpotifyCares Thanks guys:),resolved_followup,auto_handle,@130762 You're welcome! Have a wonderful day 💚 /RE,1.0,0.8587,
GS_0008,@SpotifyCares It’s ok thanks it’s righted itself now,resolved_followup,auto_handle,"@667203 That's great to hear. If there's anything else we can do for you, give us a shout. We'll be... https://t.co/LgAM6ky9Vv /DV",1.0,0.7714,
GS_0009,why did I get charged for Spotify premium yet they are only letting me use free?🤔 @SpotifyCares,subscription_billing,auto_handle,"@784343 Hi there, that doesn't sound good! Can you DM us your account's email address? We'll take a look backstage /AK https://t.co/ldFdZRiNAt",1.0,0.4938,intent corrected: connectivity_device -> subscription_billing
GS_0010,"@SpotifyCares I have an issue where if I go to play music on my phone after I've queued music on my computer, I lose all the music I added to my computer's queue. Even the recently played section only has what I played on my phone, not anything from the 6 hours of music yesterday",general_inquiry,auto_handle,@516168 Hey there! Could you tell us your device/OS you're using? We'll see what we can suggest /DF,1.0,0.5273,action corrected: escalate -> auto_handle
GS_0011,@SpotifyCares I️ accidentally named the owner of my new family plan the name of the family member I️ was trying to add. Is there any way I️ can go back in and change that information?,family_plan,auto_handle,"@744332 Hey Preston, help's here! Could you DM us your account's username or email address? We'll take a look under the hood /GU https://t.co/ldFdZRiNAt",1.0,0.672,
GS_0012,@SpotifyCares Aw man I used to love that feature 😔 thanks tho,resolved_followup,auto_handle,"@346512 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RE",1.0,0.4927,
GS_0013,@SpotifyCares I no longer have my email linked to my Spotify premium account. I need help logging back into the account I pay for.,account_access,auto_handle,"@567248 Hey Jesse, help's here! Can you DM us your account's email address or username? We'll see what we can suggest /RH https://t.co/ldFdZRiNAt",1.0,0.856,
GS_0014,@SpotifyCares my Spotify keeps saying error 600 and won’t let me accept my family invite,family_plan,auto_handle,@568647 Hey there! Could you DM us the email addresses or usernames on your and the plan owner's accounts? We'll take a look backstage /LP https://t.co/ldFdZRiNAt,1.0,0.5093,
GS_0015,"@115888 Hi im having a huge problem trying to get on my family plan that i have with my fiance, with whom i can contact to solve it? thanks",family_plan,auto_handle,@438551 @115888 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,1.0,0.5463,
GS_0016,@115888 @115888 im a regular premium user. I always pay 129 per month. can i have this offer?,subscription_billing,auto_handle,"@785572 Hey! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /NQ",1.0,0.535,intent corrected: general_inquiry -> subscription_billing
GS_0017,"@SpotifyCares this is on my laptop, not mobile but thanks",resolved_followup,auto_handle,@421503 That's odd. You should be able to listen on-demand (with ads) on your desktop. Can you let us know the OS and app version you're using? /PB,1.0,0.8007,
GS_0018,@115888 sudsenly for the last week Im getting this notification. Premium account holder Android and card is valid and has been charged. https://t.co/lfYgLt0pmk,account_access,auto_handle,"@683443 Hi there. Don't worry, help's here. Can you DM us your username or email address so we can check? /JU https://t.co/ldFdZRiNAt",1.0,0.4677,
GS_0019,"@115888 @115888  You guys need to wake the F**k up and come up with a solution ASAP because ignoring a continent is unacceptable.
#SpotifyIgnoresAF",general_inquiry,auto_handle,"@554216 @147836 1: Hi Ahmed! We hear you loud and clear. We're afraid we don't have any more info on this, but we'd love to have Spotify...",1.0,0.4719,
GS_0020,"@115888 if I already have student premium, how do I add Hulu?",subscription_billing,auto_handle,"@214356 Hey Brian! To add Hulu to your student discount subscription, just head here: https://t.co/pFeBZLq1cj. Let us know how it goes /NS",1.0,0.6446,
GS_0021,@117153 The sidebar adverts have started to play music over the top of the songs I'm listening to. Any idea how I can stop this? #annoying,playback_issue,auto_handle,@733412 Hey there! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,1.0,0.4673,
GS_0022,@SpotifyCares I'm using a Lumia 950 running Windows 10 Mobile (latest version) and the latest Spotify app for Windows Phone / 10 Mobile.,app_crash_or_bug,auto_handle,@401644 Thanks! Can you try logging out and back in to the app? Does restarting your device help? /CH,1.0,0.4513,
GS_0023,Hey @116130 why do songs keep saying they're unavailable on my phone? I've got a premium account and they all play fine on desktop,playback_issue,auto_handle,"@548828 Hey Rich, that's not cool! Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /RE",1.0,0.4527,intent corrected: account_access -> playback_issue
GS_0024,@SpotifyCares No. It only crashes if I am using premium.,app_crash_or_bug,auto_handle,"@328073 Thanks for confirming! Just to check, did you definitely watch the video ad in full after hearing the offer? /AU",1.0,0.4545,intent corrected: general_inquiry -> app_crash_or_bug
